date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_confirmed,mobility_workplaces
2021-09-07,US_AR,6592.0,1630602.0,0.0,-10.0
2021-03-23,US_NE,4516.0,519877.0,0.0,-11.0
2021-06-05,US_OH,17701.0,5419839.0,9.0,-10.0
2022-04-29,US_MN,759.0,4232274.0,165.0,-21.0
2022-03-05,US_NM,719.0,1806533.0,0.0,3.0
2021-11-17,US_KS,4604.0,1882796.0,2.0,2.0
2021-09-16,US_MN,4313.0,3543232.0,5.0,10.0
2021-05-31,US_CO,0.0,3115301.0,5.0,-56.0
2021-03-29,US_OK,9302.0,1201827.0,0.0,-13.0
2021-07-07,US_TX,22568.0,14123333.0,11.0,-21.0
2021-07-25,US_AR,9823.0,1372629.0,167.0,-8.0
2021-09-01,US_GA,80431.0,5480606.0,4.0,-27.0
2021-07-01,US_MO,6558.0,2761421.0,4.0,-20.0
2022-03-24,US_TN,0.0,4209697.0,0.0,3.0
2021-10-09,US_TX,21438.0,17448821.0,0.0,-3.0
2021-11-24,US_MO,12304.0,3642900.0,5.0,-18.0
2022-03-09,US_MS,515.0,1753950.0,0.0,-9.0
2021-11-23,US_KY,0.0,2667825.0,2.0,7.0
2021-03-19,US_WI,36593.0,1441789.0,2.0,-26.0
2021-02-24,US_OH,0.0,1511089.0,5.0,-15.0
2021-06-17,US_KY,11134.0,2162380.0,1.0,-31.0
2021-10-29,US_MN,3605.0,3669098.0,4.0,-10.0
2021-08-19,US_TX,61650.0,16022957.0,45.0,-28.0
2021-07-04,US_SC,3996.0,2295646.0,0.0,-31.0
2021-02-28,US_IL,40196.0,2004662.0,3.0,-10.0
2022-05-06,US_KY,1004.0,2957180.0,0.0,-6.0
2021-05-18,US_TX,135532.0,12017212.0,0.0,-10.0
2021-06-05,US_TX,42424.0,13026862.0,0.0,-2.0
2021-05-11,US_IL,31119.0,6251125.0,0.0,-22.0
2021-11-08,US_MS,175.0,1559999.0,11.0,-12.0
2021-08-20,US_MN,6046.0,3437130.0,3.0,-20.0
2021-11-25,US_FL,0.0,15318838.0,0.0,-82.0
2021-07-06,US_TX,27433.0,14100765.0,0.0,-30.0
2022-01-13,US_IN,5988.0,3954112.0,133.0,-11.0
2022-02-17,US_NY,19505.0,17213399.0,831.0,-10.0
2021-05-31,US_MO,0.0,2587559.0,1.0,-64.0
2021-07-17,US_TX,30822.0,14395623.0,0.0,-18.0
2021-07-19,US_GA,49702.0,4769036.0,6.0,-20.0
2021-07-09,US_KY,2764.0,2235087.0,0.0,-39.0
2022-02-05,US_LA,1501.0,2773492.0,0.0,7.0
2021-05-11,US_TX,36678.0,11574600.0,0.0,-18.0
2022-04-05,US_TX,10969.0,20954085.0,0.0,15.0
2021-11-21,US_MI,13373.0,6024050.0,0.0,-5.0
2021-04-20,US_TX,0.0,10245431.0,67.0,-15.0
2022-04-03,US_GA,193.0,6894546.0,0.0,-18.0
2021-07-23,US_GA,729.0,4785044.0,7.0,-27.0
2021-03-01,US_OH,36177.0,1723002.0,9.0,-11.0
2022-04-03,US_GA,193.0,6894546.0,0.0,-23.0
2021-12-13,US_MI,7440.0,6226169.0,250.0,14.0
2022-04-05,US_KY,379.0,2941650.0,0.0,-27.0
2021-10-11,US_TX,0.0,17448821.0,3.0,-23.0
2022-04-18,US_IN,542.0,4127020.0,30.0,-15.0
2022-03-08,US_NE,45.0,1343600.0,1.0,-2.0
2021-07-31,US_ND,935.0,346776.0,0.0,-4.0
2022-01-23,US_OH,5822.0,7256336.0,68.0,-9.0
2021-09-28,US_GA,0.0,5802722.0,13.0,-13.0
2022-04-07,US_KY,541.0,2942780.0,0.0,-26.0
2021-07-23,US_MI,7248.0,5256203.0,4.0,-50.0
2021-01-22,US_TX,75061.0,1412767.0,21.0,-11.0
2022-02-21,US_AL,0.0,3026281.0,1.0,-26.0
2021-08-04,US_TX,55259.0,15171461.0,11.0,-36.0
2021-09-27,US_VA,4523.0,5819726.0,36.0,-29.0
2021-12-05,US_IL,28723.0,8838501.0,0.0,-20.0
2021-08-07,US_TN,12533.0,3126504.0,0.0,1.0
2022-02-21,US_WI,0.0,4129254.0,3.0,-10.0
2021-07-12,US_NC,4711.0,5184475.0,0.0,-24.0
2022-01-27,US_WI,3033.0,4085826.0,43.0,-1.0
2021-07-17,US_TN,5221.0,2958822.0,0.0,-7.0
2021-10-01,US_NE,966.0,1150147.0,1.0,-17.0
2022-05-03,US_KY,214.0,2955744.0,0.0,7.0
2021-05-22,US_VA,73995.0,4544186.0,0.0,-4.0
2021-07-12,US_NY,12349.0,11889190.0,3.0,-35.0
2022-02-14,US_MD,1387.0,5100337.0,12.0,-4.0
2022-01-01,US_GA,0.0,6505193.0,0.0,-42.0
2022-01-02,US_TX,0.0,19372135.0,0.0,-15.0
2021-02-17,US_TX,21970.0,3059756.0,12.0,-83.0
2021-03-06,US_ND,11035.0,164433.0,0.0,-9.0
2021-04-23,US_KY,12752.0,1776472.0,4.0,-19.0
2021-10-07,US_NY,13200.0,14014165.0,9.0,-20.0
2021-07-26,US_TX,35971.0,14733626.0,0.0,-20.0
2021-11-25,US_MI,0.0,6069178.0,0.0,-90.0
2021-01-30,US_AR,12383.0,233935.0,9.0,-11.0
2021-04-20,US_KY,0.0,1738564.0,1.0,-19.0
2021-07-06,US_KY,3021.0,2228196.0,0.0,-25.0
2021-07-17,US_TX,30822.0,14395623.0,7.0,-10.0
2021-07-13,US_LA,1856.0,1827802.0,-2.0,-16.0
2022-02-26,US_TN,1286.0,4188143.0,0.0,16.0
2021-02-28,US_TX,87462.0,3533100.0,0.0,-26.0
2021-10-26,US_IA,3941.0,1872818.0,0.0,-9.0
2021-02-27,US_CO,861.0,876958.0,1.0,-24.0
2021-09-14,US_KS,3794.0,1708951.0,0.0,-4.0
2021-03-01,US_LA,14243.0,678364.0,2.0,-22.0
2022-05-05,US_KS,0.0,2170771.0,0.0,-3.0
2021-04-29,US_OK,5071.0,1518260.0,0.0,-7.0
2021-08-07,US_VA,11482.0,5337963.0,0.0,-21.0
2021-02-16,US_WI,26956.0,736864.0,1.0,-42.0
2021-06-05,US_NC,8859.0,4587462.0,0.0,-23.0
2021-03-06,US_GA,55877.0,1365901.0,72.0,-4.0
2021-04-04,US_IN,27311.0,1841749.0,1.0,-23.0
2022-01-11,US_NC,11979.0,8215151.0,155.0,-24.0
2021-12-16,US_FL,20508.0,15730503.0,0.0,-18.0
2021-08-23,US_OH,6957.0,6061277.0,47.0,-15.0
2022-04-07,US_TN,1012.0,4223181.0,0.0,-5.0
2022-05-02,US_NC,1792.0,8831236.0,0.0,-7.0
2021-05-10,US_MO,11749.0,2400614.0,0.0,-16.0
2021-03-08,US_FL,3667.0,3718074.0,12.0,-18.0
2021-05-10,US_KS,1938.0,1276977.0,-1.0,-11.0
2022-03-23,US_TX,7487.0,20834156.0,18.0,-4.0
2022-01-26,US_NY,19115.0,16971678.0,69.0,-11.0
2021-01-21,US_MO,11350.0,205217.0,0.0,-9.0
2021-04-03,US_MN,51846.0,1891156.0,87.0,-19.0
2022-02-27,US_WI,0.0,4136395.0,0.0,-2.0
2022-02-14,US_TX,8898.0,20403797.0,0.0,-14.0
2021-04-10,US_IL,0.0,4632713.0,1.0,-14.0
2022-03-26,US_NC,2870.0,8703367.0,0.0,-2.0
2021-06-15,US_AL,884.0,1816769.0,2.0,-13.0
2021-09-05,US_TX,0.0,16712108.0,8.0,-13.0
2022-03-24,US_MI,0.0,6643526.0,0.0,8.0
2021-04-06,US_WI,2295.0,2057082.0,6.0,-22.0
2021-01-19,US_TX,219540.0,1222952.0,9476.0,-31.0
2021-10-14,US_MI,5932.0,5729101.0,0.0,-12.0
2021-08-25,US_KS,2985.0,1649184.0,8.0,-20.0
2022-02-10,US_VA,27166.0,7161698.0,68.0,-5.0
2021-08-18,US_KS,3155.0,1623873.0,9.0,-14.0
2021-02-22,US_MN,5905.0,794373.0,7.0,-23.0
